n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
335 | Wang, Shiya | University of Illinois at Urbana-Champaign | 2008 | female | 22 | 31 | 2017 | 63 | 137 | 2017 | 6 | 1 | 3 | 3 | 2 | 7 | 2 | 3 | 4 | 3 | 2 | 6 | 5 | 5 |  15 | 5 | 11 | 12 | 6 | 14 | 9 | 22 | 14 | 18 | 13 | 22 | 16 | 19 |
336 | Dilday, Benjamin E. P. | The University of Chicago | 2008 | male | 2 | 3 | 2012 | 2 | 22 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 3 | 8 | 2 | 5 | 2 | 1 | 0 | 1 |
337 | Jackson, Telana Leilani | Morgan State University | 2008 | female | 3 | 3 | 2015 | 7 | 6 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 |  2 | 1 | 0 | 1 | 1 | 2 | 0 | 1 | 2 | 2 | 0 | 0 | 1 | 0 |
338 | Keidl, Tobias S. | The University of Wisconsin - Milwaukee | 2008 | male | 2 | 1 | 2010 | 3 | 3 | 2012 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |
339 | Long, Min | Cornell University | 2008 | male | 4 | 5 | 2014 | 6 | 10 | 2016 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 |  0 | 1 | 1 | 1 | 1 | 2 | 1 | 0 | 3 | 1 | 2 | 2 | 0 | 1 |
340 | Hasoglu, Muhammet Fatih | Western Michigan University | 2008 | male | 1 | 1 | 2010 | 3 | 3 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 |
341 | Liu, Rui | Rice University | 2008 | male | 6 | 32 | 2017 | 17 | 87 | 2017 | 1 | 0 | 1 | 0 | 1 | 3 | 5 | 6 | 3 | 4 | 3 | 3 | 3 | 4 |  5 | 1 | 1 | 3 | 3 | 4 | 9 | 9 | 6 | 13 | 8 | 9 | 10 | 15 |
342 | Kacprzak, Glenn George | New Mexico State University | 2008 | male | 4 | 14 | 2016 | 6 | 63 | 2017 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 4 | 2 | 1 | 1 | 3 | 1 |  1 | 0 | 1 | 0 | 2 | 2 | 0 | 2 | 5 | 5 | 7 | 11 | 11 | 14 |
343 | Foley, Ryan Joseph | University of California, Berkeley | 2008 | male | 7 | 24 | 2016 | 64 | 186 | 2017 | 1 | 0 | 1 | 1 | 1 | 3 | 2 | 3 | 4 | 5 | 4 | 2 | 2 | 2 |  2 | 2 | 6 | 17 | 19 | 18 | 20 | 17 | 22 | 21 | 21 | 26 | 25 | 25 |
344 | Green, Cristina | Stanford University | 2008 | female | 4 | 3 | 2017 | 13 | 5 | 2017 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 |  1 | 1 | 4 | 4 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 |
345 | Huang, Chia-Lin | Boston University | 2008 | female | 7 | 4 | 2016 | 28 | 17 | 2017 | 1 | 0 | 1 | 2 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 |  2 | 5 | 6 | 7 | 6 | 2 | 2 | 2 | 1 | 2 | 0 | 2 | 2 | 5 |
